top_speed_kmh,battery_capacity_kWh,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,towing_capacity_kg,seats,length_mm,width_mm,height_mm,fast_charge_port_CHAdeMO,cargo_volume_l_1030,cargo_volume_l_1050,cargo_volume_l_1121,cargo_volume_l_13 Banana Boxes,cargo_volume_l_1340,cargo_volume_l_1390,cargo_volume_l_1410,cargo_volume_l_151,cargo_volume_l_185,cargo_volume_l_200,cargo_volume_l_210,cargo_volume_l_228,cargo_volume_l_235,cargo_volume_l_249,cargo_volume_l_265,cargo_volume_l_267,cargo_volume_l_270,cargo_volume_l_280,cargo_volume_l_300,cargo_volume_l_308,cargo_volume_l_309,cargo_volume_l_31 Banana Boxes,cargo_volume_l_310,cargo_volume_l_313,cargo_volume_l_316,cargo_volume_l_318,cargo_volume_l_323,cargo_volume_l_326,cargo_volume_l_333,cargo_volume_l_338,cargo_volume_l_340,cargo_volume_l_345,cargo_volume_l_348,cargo_volume_l_350,cargo_volume_l_352,cargo_volume_l_354,cargo_volume_l_355,cargo_volume_l_360,cargo_volume_l_361,cargo_volume_l_362,cargo_volume_l_363,cargo_volume_l_366,cargo_volume_l_367,cargo_volume_l_370,cargo_volume_l_376,cargo_volume_l_380,cargo_volume_l_385,cargo_volume_l_386,cargo_volume_l_390,cargo_volume_l_400,cargo_volume_l_401,cargo_volume_l_404,cargo_volume_l_405,cargo_volume_l_407,cargo_volume_l_410,cargo_volume_l_412,cargo_volume_l_415,cargo_volume_l_420,cargo_volume_l_425,cargo_volume_l_430,cargo_volume_l_432,cargo_volume_l_434,cargo_volume_l_435,cargo_volume_l_438,cargo_volume_l_440,cargo_volume_l_441,cargo_volume_l_446,cargo_volume_l_448,cargo_volume_l_450,cargo_volume_l_452,cargo_volume_l_453,cargo_volume_l_456,cargo_volume_l_460,cargo_volume_l_466,cargo_volume_l_467,cargo_volume_l_468,cargo_volume_l_470,cargo_volume_l_471,cargo_volume_l_472,cargo_volume_l_475,cargo_volume_l_479,cargo_volume_l_480,cargo_volume_l_484,cargo_volume_l_490,cargo_volume_l_495,cargo_volume_l_496,cargo_volume_l_500,cargo_volume_l_502,cargo_volume_l_503,cargo_volume_l_505,cargo_volume_l_509,cargo_volume_l_510,cargo_volume_l_511,cargo_volume_l_514,cargo_volume_l_516,cargo_volume_l_519,cargo_volume_l_520,cargo_volume_l_522,cargo_volume_l_523,cargo_volume_l_525,cargo_volume_l_526,cargo_volume_l_532,cargo_volume_l_535,cargo_volume_l_536,cargo_volume_l_539,cargo_volume_l_540,cargo_volume_l_543,cargo_volume_l_545,cargo_volume_l_549,cargo_volume_l_550,cargo_volume_l_551,cargo_volume_l_552,cargo_volume_l_555,cargo_volume_l_570,cargo_volume_l_571,cargo_volume_l_572,cargo_volume_l_579,cargo_volume_l_585,cargo_volume_l_588,cargo_volume_l_594,cargo_volume_l_603,cargo_volume_l_605,cargo_volume_l_608,cargo_volume_l_611,cargo_volume_l_620,cargo_volume_l_630,cargo_volume_l_645,cargo_volume_l_660,cargo_volume_l_672,cargo_volume_l_709,cargo_volume_l_775,cargo_volume_l_793,cargo_volume_l_819,cargo_volume_l_828,cargo_volume_l_839,cargo_volume_l_854,cargo_volume_l_950,cargo_volume_l_989,cargo_volume_l_990,drivetrain_FWD,drivetrain_RWD,segment_B - Compact,segment_C - Medium,segment_D - Large,segment_E - Executive,segment_F - Luxury,segment_G - Sports,segment_I - Luxury,segment_JA - Mini,segment_JB - Compact,segment_JC - Medium,segment_JD - Large,segment_JE - Executive,segment_JF - Luxury,segment_N - Passenger Van,car_body_type_Coupe,car_body_type_Hatchback,car_body_type_Liftback Sedan,car_body_type_SUV,car_body_type_Sedan,car_body_type_Small Passenger Van,car_body_type_Station/Estate
180,79.0,679.0,147,460,5.4,135.0,1200.0,5,4660,1879,1607,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
150,81.0,320.0,166,390,9.6,50.0,1000.0,5,4720,1908,1696,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
150,68.0,320.0,149,330,9.6,50.0,1000.0,5,4720,1908,1696,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
180,62.0,584.0,155,325,3.9,100.0,1600.0,5,4300,1822,1636,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
180,62.0,343.0,141,335,6.7,100.0,1600.0,5,4270,1822,1636,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
180,47.0,343.0,152,250,6.7,65.0,0.0,5,4270,1822,1636,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
180,62.0,343.0,148,335,6.7,100.0,1600.0,5,4270,1822,1636,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
180,62.0,584.0,155,325,4.5,100.0,1600.0,5,4300,1822,1636,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
180,47.0,343.0,152,250,6.7,65.0,0.0,5,4270,1822,1636,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
180,62.0,343.0,148,335,6.7,100.0,1600.0,5,4270,1822,1636,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
180,62.0,543.0,149,335,3.7,100.0,1600.0,5,4400,1844,1556,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
